Nombre,Correo,Teléfono,Dirección,Identificación,Texto
Nicanor Salcedo Zamora,qdiaz@hotmail.com,(630) 706-291,"Calle Plaza de Nadia Ramírez, 200, Valladolid",P4780841,"Mi nombre es Nicanor Salcedo Zamora, puedes contactarme por correo electrónico en qdiaz@hotmail.com, o llamarme al (630) 706-291. Vivo en Calle Plaza de Nadia Ramírez, 200, Valladolid. Mi número de identificación es P4780841."
Alma Ferreras-Bermudez,nsales@vives.net,957667457,"Apt. 43, Córdoba",92042797X,"Mi nombre es Alma Ferreras-Bermudez, puedes contactarme por correo electrónico en nsales@vives.net, o llamarme al 957667457. Vivo en Apt. 43, Córdoba. Mi número de identificación es 92042797X."
Borja Carbó-Andrade,ecanton@hotmail.com,(655) 587-191,"Camino Fabio Tomé 951, Zaragoza, 16018",59499940E,"Mi nombre es Borja Carbó-Andrade, puedes contactarme por correo electrónico en ecanton@hotmail.com, o llamarme al (655) 587-191. Vivo en Camino Fabio Tomé 951, Zaragoza, 16018. Mi número de identificación es 59499940E."
Carmelo de Salamanca,vazqueziker@barcelo.es,+34 742207937,"Paseo Judith Mesa 5 Apt. 68 , Castellón, 25419",P6288154,"Mi nombre es Carmelo de Salamanca, puedes contactarme por correo electrónico en vazqueziker@barcelo.es, o llamarme al +34 742207937. Vivo en Paseo Judith Mesa 5 Apt. 68 , Castellón, 25419. Mi número de identificación es P6288154."
Áurea Carolina Rojas Pinedo,ricartines@yahoo.com,+34 604245439,"Puerta 4, Santa Cruz de Tenerife",52998641J,"Mi nombre es Áurea Carolina Rojas Pinedo, puedes contactarme por correo electrónico en ricartines@yahoo.com, o llamarme al +34 604245439. Vivo en Puerta 4, Santa Cruz de Tenerife. Mi número de identificación es 52998641J."
Buenaventura Belmonte Plana,rivasjuan-jose@yahoo.com,+34 613496530,"Apt. 02, Zaragoza",42926353G,"Mi nombre es Buenaventura Belmonte Plana, puedes contactarme por correo electrónico en rivasjuan-jose@yahoo.com, o llamarme al +34 613496530. Vivo en Apt. 02, Zaragoza. Mi número de identificación es 42926353G."
Aroa Angulo Pascual,roberto35@hotmail.com,+34 635646846,"Plaza de Valentina Pujol 83 Puerta 3 , Murcia, 26415",82507986A,"Mi nombre es Aroa Angulo Pascual, puedes contactarme por correo electrónico en roberto35@hotmail.com, o llamarme al +34 635646846. Vivo en Plaza de Valentina Pujol 83 Puerta 3 , Murcia, 26415. Mi número de identificación es 82507986A."
Ismael Tejera-Monreal,alba74@hotmail.com,917912654,"Ronda de Geraldo Meléndez 13 Apt. 81 , Murcia, 95807",17347950L,"Mi nombre es Ismael Tejera-Monreal, puedes contactarme por correo electrónico en alba74@hotmail.com, o llamarme al 917912654. Vivo en Ronda de Geraldo Meléndez 13 Apt. 81 , Murcia, 95807. Mi número de identificación es 17347950L."
Clarisa Pomares Bejarano,juana15@hotmail.com,(605) 675-937,"Puerta 9, Guadalajara",X2795266Z,"Mi nombre es Clarisa Pomares Bejarano, puedes contactarme por correo electrónico en juana15@hotmail.com, o llamarme al (605) 675-937. Vivo en Puerta 9, Guadalajara. Mi número de identificación es X2795266Z."
Hernando de Pla,upalomares@gmail.com,+34609 70 09 70,"Apt. 28, Asturias",X2788063G,"Mi nombre es Hernando de Pla, puedes contactarme por correo electrónico en upalomares@gmail.com, o llamarme al +34609 70 09 70. Vivo en Apt. 28, Asturias. Mi número de identificación es X2788063G."
Bárbara de Jiménez,javiermilla@alcazar.es,(697) 957-251,"Calle Avenida Adelina España, 78, Cádiz",P5080278,"Mi nombre es Bárbara de Jiménez, puedes contactarme por correo electrónico en javiermilla@alcazar.es, o llamarme al (697) 957-251. Vivo en Calle Avenida Adelina España, 78, Cádiz. Mi número de identificación es P5080278."
Bernabé del Arenas,estela89@riba-barranco.com,+34711868556,"C. Josefa Menendez 101, La Coruña, 70590",P5234467,"Mi nombre es Bernabé del Arenas, puedes contactarme por correo electrónico en estela89@riba-barranco.com, o llamarme al +34711868556. Vivo en C. Josefa Menendez 101, La Coruña, 70590. Mi número de identificación es P5234467."
Conrado Somoza,eusebioandreu@yahoo.com,(687) 850-910,"Calle Urbanización Flora Miranda, 69, Teruel",P8722024,"Mi nombre es Conrado Somoza, puedes contactarme por correo electrónico en eusebioandreu@yahoo.com, o llamarme al (687) 850-910. Vivo en Calle Urbanización Flora Miranda, 69, Teruel. Mi número de identificación es P8722024."
Régulo Guitart Garmendia,loretosole@yahoo.com,916432206,"Calle Paseo de Juanita Verdugo, 159, Huelva",Y9848867A,"Mi nombre es Régulo Guitart Garmendia, puedes contactarme por correo electrónico en loretosole@yahoo.com, o llamarme al 916432206. Vivo en Calle Paseo de Juanita Verdugo, 159, Huelva. Mi número de identificación es Y9848867A."
Régulo Ribes Urrutia,uclemente@segura-carballo.org,+34 662833809,"Alameda de Maricruz Feliu 78 Puerta 5 , Segovia, 98955",Y8346080C,"Mi nombre es Régulo Ribes Urrutia, puedes contactarme por correo electrónico en uclemente@segura-carballo.org, o llamarme al +34 662833809. Vivo en Alameda de Maricruz Feliu 78 Puerta 5 , Segovia, 98955. Mi número de identificación es Y8346080C."
Araceli Sola Quintana,smiro@yahoo.com,(616) 744-924,"Apt. 60, Almería",80475012E,"Mi nombre es Araceli Sola Quintana, puedes contactarme por correo electrónico en smiro@yahoo.com, o llamarme al (616) 744-924. Vivo en Apt. 60, Almería. Mi número de identificación es 80475012E."
Adelardo Ribas Martín,barrioscarmela@yahoo.com,(678) 410-346,"Apt. 20, Murcia",35469459R,"Mi nombre es Adelardo Ribas Martín, puedes contactarme por correo electrónico en barrioscarmela@yahoo.com, o llamarme al (678) 410-346. Vivo en Apt. 20, Murcia. Mi número de identificación es 35469459R."
Nazario Baltasar Campillo Iniesta,segismundo66@hotmail.com,954760760,"Puerta 9, Valladolid",73342854G,"Mi nombre es Nazario Baltasar Campillo Iniesta, puedes contactarme por correo electrónico en segismundo66@hotmail.com, o llamarme al 954760760. Vivo en Puerta 9, Valladolid. Mi número de identificación es 73342854G."
